ShipmentID,Country,Port,Product,Quantity(kg),Value(USD),TransportMode,ETA,ClearanceTime(days),Status
S1297,Thailand,Cat Lai,Pharmaceuticals,3456.0,34793.0,Air,2025-06-17,4,Delivered
S1298,Germany,Cat Lai,Textiles,1428.0,153929.0,Air,2025-06-15,3,In Transit
S1299,Vietnam,Danang,Machinery,3019.0,24627.0,Sea,2025-03-26,5,Delivered
S1300,China,Haiphong,Machinery,3485.0,227633.0,Air,2025-05-17,3,Hold
S1301,China,Haiphong,Pharmaceuticals,455.0,229440.0,Road,2025-07-08,2,Delayed
S1302,South Korea,Cat Lai,Automotive Parts,334.0,180188.0,Air,2025-01-02,4,Delivered
S1303,India,Haiphong,Toys,3844.0,263191.0,Sea,2025-04-16,1,Delivered
S1304,Japan,Haiphong,Furniture,1074.0,128099.0,Road,2025-12-30,7,Hold
S1305,Germany,Haiphong,Machinery,1021.0,214074.0,Road,2025-03-13,6,Delayed
S1306,USA,Ho Chi Minh,Toys,2335.0,178686.0,Air,2025-05-06,4,Hold
S1307,Japan,Danang,Automotive Parts,3235.0,279864.0,Air,2025-06-19,2,In Transit
S1308,Vietnam,Cat Lai,Pharmaceuticals,3478.0,112449.0,Sea,2025-07-24,1,In Transit
S1309,India,Cat Lai,Electronics,3400.0,107828.0,Road,2025-11-09,3,Delivered
S1310,Vietnam,Ho Chi Minh,Furniture,,131613.0,Sea,2025-12-03,5,Delayed
S1311,Thailand,Danang,Textiles,3274.0,77095.0,Air,2025-07-14,5,In Transit
S1312,USA,Cat Lai,Machinery,1173.0,110924.0,Road,2025-06-07,7,Hold
S1313,Thailand,Haiphong,Automotive Parts,3181.0,101452.0,Sea,2025-05-21,4,In Transit
S1314,South Korea,Cat Lai,Electronics,1977.0,92593.0,Sea,2025-10-02,3,In Transit
S1315,Vietnam,Haiphong,Textiles,320.0,171964.0,Sea,2025-01-07,7,Hold
S1316,South Korea,Ho Chi Minh,Spices,3656.0,131202.0,Sea,2025-02-23,6,Delivered
S1317,China,Haiphong,Automotive Parts,1837.0,82606.0,Sea,2025-04-14,6,Delayed
S1318,Thailand,Cat Lai,Automotive Parts,3309.0,128769.0,Road,2025-12-08,7,Delivered
S1319,India,Cat Lai,Textiles,1564.0,123542.0,Sea,2025-12-04,2,Hold
S1320,Vietnam,Cat Lai,Electronics,1207.0,4021020.0,Road,2025-03-02,5,In Transit
S1321,Germany,Ho Chi Minh,Spices,1124.0,56322.0,Sea,2025-03-28,3,Delayed
S1322,USA,Ho Chi Minh,Toys,844.0,162550.0,Air,2025-09-15,4,Delivered
S1323,Japan,Danang,Toys,2232.0,76042.0,Air,2025-06-27,1,Hold
S1324,India,Cat Lai,Pharmaceuticals,2961.0,51418.0,Sea,2025-08-30,4,In Transit
S1325,India,Haiphong,Electronics,3107.0,105699.0,Air,2025-07-22,4,In Transit
S1326,South Korea,Ho Chi Minh,Furniture,2268.0,95140.0,Road,2025-01-31,3,Delivered
S1327,Thailand,Cat Lai,Machinery,441.0,16781.0,Sea,2025-10-16,5,Hold
S1328,Vietnam,Cat Lai,Textiles,2702.0,102628.0,Road,2025-03-21,3,In Transit
S1329,Vietnam,Ho Chi Minh,Pharmaceuticals,3210.0,81946.0,Sea,2025-01-11,1,In Transit
S1330,China,Danang,Spices,2868.0,90058.0,Air,2025-09-11,7,Delayed
S1331,China,Ho Chi Minh,Textiles,2550.0,156542.0,Road,2025-10-14,3,In Transit
S1332,USA,Ho Chi Minh,Textiles,1819.0,275675.0,Air,2025-06-25,2,Delivered
S1333,South Korea,Haiphong,Electronics,3866.0,47674.0,Air,2025-05-06,4,Hold
S1334,India,Haiphong,Machinery,1002.0,132572.0,Sea,2025-02-16,5,Hold
S1335,Vietnam,Danang,Furniture,1163.0,230730.0,Road,2025-07-25,6,Delayed
S1336,Germany,Cat Lai,Toys,268.0,296975.0,Air,2025-04-17,1,Hold
S1337,South Korea,Ho Chi Minh,Automotive Parts,1352.0,62174.0,Sea,2025-10-02,6,Delivered
S1338,USA,Danang,Automotive Parts,395.0,278423.0,Sea,2025-12-03,4,In Transit
S1339,USA,Haiphong,Textiles,2387.0,261008.0,Sea,2025-05-03,3,Delayed
S1340,South Korea,Ho Chi Minh,Toys,3715.0,58051.0,Air,2025-05-14,6,Hold
S1341,USA,Cat Lai,Toys,2530.0,208085.0,Sea,2025-04-17,2,Delayed
S1342,South Korea,Haiphong,Machinery,2559.0,70524.0,Road,2025-11-01,3,Delayed
S1343,Japan,Haiphong,Spices,945.0,273614.0,Road,2025-11-25,4,Hold
S1344,South Korea,Haiphong,Spices,3806.0,,Air,2025-02-19,6,Delayed
S1345,Thailand,Danang,Pharmaceuticals,1888.0,49439.0,Road,2025-12-03,7,Hold
S1346,South Korea,Cat Lai,Electronics,476.0,281452.0,Sea,2025-04-05,1,Delivered
S1347,USA,Ho Chi Minh,Machinery,260.0,96563.0,Air,2025-09-25,6,Hold
S1348,Vietnam,Danang,Machinery,3590.0,232328.0,Sea,2025-01-23,7,In Transit
S1349,Thailand,Danang,Electronics,2113.0,211314.0,Air,2025-02-23,7,Hold
S1350,USA,Danang,Toys,2299.0,,Air,2025-09-11,6,In Transit
S1351,China,Haiphong,Spices,2400.0,240207.0,Sea,2025-08-23,5,Delayed
S1352,China,Cat Lai,Spices,1972.0,123128.0,Road,2025-02-28,6,Hold
S1353,Vietnam,Danang,Toys,1534.0,,Road,2025-06-13,4,In Transit
S1354,Vietnam,Ho Chi Minh,Spices,2037.0,169145.0,Air,2025-09-16,7,Hold
S1355,Thailand,Cat Lai,Textiles,2791.0,102624.0,Sea,2025-11-10,1,Hold
S1356,Japan,Ho Chi Minh,Machinery,766.0,194933.0,Sea,2025-08-04,4,Hold
S1357,Vietnam,Cat Lai,Automotive Parts,3660.0,35063.0,Air,2025-07-02,2,Delivered
S1358,China,Ho Chi Minh,Electronics,1771.0,74453.0,Road,2025-02-26,3,In Transit
S1359,South Korea,Haiphong,Spices,821.0,259371.0,Sea,2025-05-25,6,Delivered
S1360,USA,Danang,Pharmaceuticals,2225.0,107166.0,Road,2025-03-31,5,Delivered
S1361,China,Ho Chi Minh,Spices,1400.0,19506.0,Road,2025-11-07,1,In Transit
S1362,China,Cat Lai,Spices,36330.0,230413.0,Air,2025-02-14,5,Hold
S1363,Japan,Danang,Furniture,513.0,118604.0,Air,2025-09-14,5,Delivered
S1364,Thailand,Danang,Textiles,3054.0,31026.0,Road,2025-01-21,5,Delivered
S1365,Thailand,Cat Lai,Electronics,3095.0,260116.0,Sea,2025-01-21,6,Delivered
S1366,India,Ho Chi Minh,Furniture,2344.0,195285.0,Sea,2025-02-21,1,Hold
S1367,Japan,Haiphong,Furniture,3128.0,55971.0,Air,2025-12-04,1,Delivered
S1368,South Korea,Haiphong,Pharmaceuticals,1436.0,118978.0,Road,2025-06-20,7,Delayed
S1369,Thailand,Ho Chi Minh,Machinery,3076.0,164163.0,Sea,2025-03-08,5,In Transit
S1370,USA,Danang,Pharmaceuticals,336.0,108864.0,Sea,2025-04-23,7,Delayed
S1371,Vietnam,Danang,Machinery,1229.0,100386.0,Air,2025-10-27,7,Hold
S1372,Japan,Danang,Machinery,3258.0,91126.0,Road,2025-06-09,3,Delivered
S1373,Vietnam,Danang,Electronics,2356.0,167023.0,Sea,2025-09-23,6,In Transit
S1374,China,Ho Chi Minh,Spices,2794.0,85863.0,Air,2025-11-16,6,Delivered
S1375,USA,Danang,Electronics,3310.0,130659.0,Sea,2025-08-20,4,Hold
S1376,USA,Cat Lai,Textiles,861.0,195944.0,Sea,2025-11-21,7,In Transit
S1377,China,Danang,Machinery,2672.0,12235.0,Sea,2025-03-09,6,Delayed
S1378,Japan,Haiphong,Furniture,2877.0,67712.0,Air,2025-01-28,5,In Transit
S1379,China,Danang,Spices,2508.0,157545.0,Road,2025-04-26,2,Delivered
S1380,Vietnam,Ho Chi Minh,Automotive Parts,3697.0,203639.0,Air,2025-02-20,5,In Transit
S1381,India,Haiphong,Textiles,286.0,242890.0,Road,2025-06-30,1,Hold
S1382,USA,Ho Chi Minh,Electronics,2712.0,130849.0,Sea,2025-09-17,6,Hold
S1383,Germany,Ho Chi Minh,Pharmaceuticals,2323.0,260493.0,Road,2025-03-20,6,In Transit
S1384,Germany,Haiphong,Textiles,2718.0,84823.0,Sea,2025-09-30,4,Hold
S1385,Vietnam,Ho Chi Minh,Textiles,2661.0,109215.0,Sea,2025-04-18,7,Hold
S1386,South Korea,Ho Chi Minh,Spices,3072.0,246071.0,Air,2025-03-15,2,Hold
S1387,Thailand,Danang,Textiles,3142.0,37230.0,Sea,2025-06-24,6,Delayed
S1388,China,Cat Lai,Textiles,2973.0,228660.0,Air,2025-07-03,4,Delivered
S1389,China,Ho Chi Minh,Automotive Parts,2704.0,184736.0,Road,2025-01-23,4,Hold
S1390,South Korea,Ho Chi Minh,Toys,1508.0,128246.0,Road,2025-10-01,2,In Transit
S1391,South Korea,Ho Chi Minh,Pharmaceuticals,3510.0,89817.0,Sea,2025-05-09,5,Hold
S1392,Vietnam,Danang,Pharmaceuticals,1900.0,243657.0,Air,2025-10-18,5,Delayed
S1393,Vietnam,Cat Lai,Pharmaceuticals,3870.0,222033.0,Sea,2025-11-16,5,In Transit
S1394,South Korea,Haiphong,Machinery,2900.0,236414.0,Air,2025-07-05,3,Delivered
S1395,USA,Danang,Furniture,2919.0,261812.0,Air,2025-02-28,7,In Transit
S1396,Vietnam,Danang,Toys,3829.0,75219.0,Air,2025-01-01,7,In Transit
S1397,India,Cat Lai,Pharmaceuticals,3643.0,175956.0,Road,2025-05-11,5,In Transit
S1398,Vietnam,Cat Lai,Textiles,694.0,262134.0,Air,2025-03-08,2,In Transit
S1399,China,Danang,Textiles,1847.0,26650.0,Road,2025-10-20,3,Hold
S1400,Vietnam,Haiphong,Pharmaceuticals,2142.0,175521.0,Air,2025-10-12,7,Delivered
S1401,USA,Danang,Spices,1268.0,2635995.0,Road,2025-03-30,5,Hold
S1402,South Korea,Cat Lai,Pharmaceuticals,1624.0,296853.0,Road,2025-04-10,3,Delayed
S1403,China,Haiphong,Textiles,3518.0,247037.0,Road,2025-07-08,2,Delayed
S1404,Vietnam,Cat Lai,Machinery,3887.0,85428.0,Sea,2025-12-12,5,In Transit
S1405,USA,Haiphong,Electronics,796.0,211251.0,Air,2025-08-29,1,Hold
S1406,India,Ho Chi Minh,Electronics,649.0,14943.0,Sea,2025-09-27,6,Hold
S1407,Vietnam,Cat Lai,Toys,684.0,179312.0,Air,2025-08-07,2,Delivered
S1408,USA,Cat Lai,Toys,845.0,26042.0,Air,2025-06-25,4,Delivered
S1409,India,Danang,Pharmaceuticals,2867.0,257842.0,Sea,2025-12-07,4,Delivered
S1410,South Korea,Cat Lai,Automotive Parts,3289.0,191443.0,Road,2025-08-21,2,Hold
S1411,Vietnam,Cat Lai,Pharmaceuticals,1829.0,156990.0,Air,2025-05-31,4,Delivered
S1412,India,Ho Chi Minh,Spices,861.0,295523.0,Road,2025-10-04,7,Delivered
S1413,China,Cat Lai,Pharmaceuticals,957.0,219304.0,Sea,2025-08-17,2,Delivered
S1414,South Korea,Ho Chi Minh,Toys,488.0,149923.0,Road,2025-06-20,1,In Transit
S1415,China,Ho Chi Minh,Electronics,3685.0,206904.0,Air,2025-08-11,2,Delayed
S1416,Germany,Ho Chi Minh,Textiles,920.0,192428.0,Air,2025-08-01,5,Delayed
S1417,Japan,Ho Chi Minh,Pharmaceuticals,837.0,150817.0,Air,2025-10-09,5,Hold
S1418,Vietnam,Haiphong,Textiles,2482.0,10730.0,Sea,2025-02-10,3,Hold
S1419,India,Danang,Textiles,2663.0,234502.0,Air,2025-05-02,4,In Transit
S1420,Japan,Haiphong,Automotive Parts,3185.0,207210.0,Sea,2025-08-15,6,Delayed
S1421,Japan,Cat Lai,Textiles,698.0,219183.0,Road,2025-10-21,4,Delivered
S1422,India,Haiphong,Electronics,3221.0,24023.0,Air,2025-03-29,7,Delivered
S1423,South Korea,Haiphong,Machinery,833.0,,Air,2025-09-24,2,Hold
S1424,Vietnam,Cat Lai,Machinery,1873.0,289981.0,Air,2025-01-29,6,Delayed
S1425,Germany,Cat Lai,Furniture,2230.0,181111.0,Road,2025-09-04,6,Hold
S1426,China,Cat Lai,Spices,3267.0,25923.0,Air,2025-11-12,4,Hold
S1427,USA,Haiphong,Pharmaceuticals,314.0,276020.0,Sea,2025-09-01,6,Delivered
S1428,China,Haiphong,Spices,3179.0,199795.0,Road,2025-03-02,6,Delivered
S1429,USA,Cat Lai,Electronics,873.0,238462.0,Road,2025-05-27,5,Delayed
S1430,China,Danang,Textiles,1936.0,56413.0,Road,2025-06-23,1,Hold
S1431,India,Danang,Machinery,1457.0,260719.0,Road,2025-10-05,2,In Transit
S1432,Germany,Ho Chi Minh,Spices,3811.0,33756.0,Road,2025-11-30,4,Delayed
S1433,Vietnam,Cat Lai,Electronics,3282.0,123248.0,Sea,2025-05-22,5,Hold
S1434,USA,Ho Chi Minh,Machinery,2453.0,277448.0,Road,2025-02-13,7,Delayed
S1435,Vietnam,Danang,Textiles,3950.0,35341.0,Air,2025-05-24,7,Delayed
S1436,Vietnam,Ho Chi Minh,Spices,2494.0,132039.0,Road,2025-12-19,3,Delayed
S1437,Vietnam,Cat Lai,Machinery,3830.0,196830.0,Road,2025-11-29,6,In Transit
S1438,Thailand,Cat Lai,Pharmaceuticals,3005.0,167730.0,Road,2025-02-24,6,In Transit
S1439,South Korea,Cat Lai,Toys,3398.0,185074.0,Road,2025-11-03,4,Delivered
S1440,China,Haiphong,Pharmaceuticals,346.0,239390.0,Road,2025-12-24,1,Delivered
S1441,Vietnam,Ho Chi Minh,Furniture,2365.0,137447.0,Sea,2025-06-10,1,Hold
S1442,China,Danang,Furniture,3653.0,104485.0,Sea,2025-10-12,4,Delayed
S1443,Vietnam,Danang,Machinery,611.0,289236.0,Road,2025-11-21,4,Hold
S1444,USA,Danang,Toys,1887.0,136562.0,Sea,2025-07-17,5,Delivered
S1445,South Korea,Haiphong,Electronics,3855.0,8729.0,Air,2025-06-08,7,In Transit
S1446,South Korea,Haiphong,Pharmaceuticals,,142046.0,Road,2025-03-21,4,Delivered
S1447,India,Cat Lai,Electronics,1732.0,123222.0,Air,2025-01-31,7,Hold
S1448,Thailand,Danang,Toys,336.0,88860.0,Air,2025-04-22,3,Delivered
S1449,India,Haiphong,Electronics,3446.0,263360.0,Road,2025-02-15,7,Hold
S1450,India,Cat Lai,Toys,3560.0,26398.0,Air,2025-12-19,5,Hold
S1451,India,Danang,Machinery,3205.0,108889.0,Air,2025-07-24,6,Hold
S1452,India,Ho Chi Minh,Electronics,3752.0,270303.0,Air,2025-02-21,6,Hold
S1453,India,Cat Lai,Pharmaceuticals,218.0,230959.0,Road,2025-05-18,7,Delivered
S1454,Germany,Haiphong,Textiles,2442.0,107834.0,Road,2025-03-15,6,Hold
S1455,South Korea,Haiphong,Furniture,2577.0,26638.0,Air,2025-02-10,6,Hold
S1456,India,Cat Lai,Textiles,2159.0,268217.0,Road,2025-03-18,2,Delayed
S1457,Vietnam,Cat Lai,Electronics,2422.0,220379.0,Road,2025-07-06,3,Hold
S1458,South Korea,Haiphong,Textiles,1201.0,237069.0,Air,2025-02-21,5,Delivered
S1459,South Korea,Ho Chi Minh,Pharmaceuticals,648.0,34320.0,Road,2025-03-28,5,Hold
S1460,Japan,Danang,Pharmaceuticals,2148.0,39924.0,Sea,2025-04-19,6,In Transit
S1461,Germany,Ho Chi Minh,Electronics,1145.0,217792.0,Road,2025-08-13,1,In Transit
S1462,India,Cat Lai,Machinery,1577.0,176097.0,Sea,2025-09-05,5,Hold
S1463,China,Ho Chi Minh,Textiles,1722.0,7159.0,Air,2025-03-10,3,In Transit
S1464,USA,Haiphong,Machinery,340.0,53940.0,Road,2025-04-30,4,In Transit
S1465,Thailand,Cat Lai,Machinery,3005.0,84436.0,Air,2025-03-08,3,Delivered
S1466,Vietnam,Danang,Toys,2120.0,19678.0,Air,2025-03-02,6,Delayed
S1467,China,Haiphong,Automotive Parts,3177.0,197147.0,Air,2025-11-23,6,In Transit
S1468,Germany,Haiphong,Electronics,292.0,142844.0,Air,2025-07-10,2,In Transit
S1469,USA,Danang,Furniture,438.0,72163.0,Air,2025-07-08,7,Delayed
S1470,Germany,Danang,Pharmaceuticals,404.0,246040.0,Road,2025-05-31,5,Delayed
S1471,Vietnam,Ho Chi Minh,Pharmaceuticals,2807.0,209827.0,Sea,2025-10-13,7,In Transit
S1472,South Korea,Cat Lai,Electronics,1656.0,159536.0,Road,2025-04-06,7,Hold
S1473,USA,Danang,Toys,444.0,56137.0,Road,2025-11-08,5,In Transit
S1474,South Korea,Danang,Spices,1031.0,105485.0,Road,2025-11-05,5,Hold
S1475,Vietnam,Cat Lai,Spices,3588.0,245970.0,Road,2025-09-20,6,Hold
S1476,China,Danang,Spices,3172.0,110468.0,Sea,2025-04-07,5,Hold
S1477,Vietnam,Danang,Toys,494.0,5901.0,Road,2025-04-23,1,Delayed
S1478,China,Ho Chi Minh,Furniture,2887.0,92980.0,Air,2025-05-05,1,In Transit
S1479,USA,Haiphong,Pharmaceuticals,1055.0,270025.0,Road,2025-05-12,4,In Transit
S1480,USA,Haiphong,Electronics,3553.0,297007.0,Road,2025-05-01,5,Delivered
S1481,India,Haiphong,Toys,2264.0,247434.0,Sea,2025-07-16,2,Delayed
S1482,Germany,Haiphong,Pharmaceuticals,270.0,207258.0,Sea,2025-10-21,4,Delivered
S1483,India,Danang,Machinery,1492.0,256839.0,Air,2025-05-02,6,Delivered
S1484,Germany,Cat Lai,Textiles,,77572.0,Road,2025-10-09,5,Hold
S1485,India,Cat Lai,Textiles,504.0,44255.0,Road,2025-09-17,1,Delayed
S1486,South Korea,Ho Chi Minh,Toys,3722.0,68212.0,Road,2025-02-08,2,Delivered
S1487,USA,Ho Chi Minh,Pharmaceuticals,1230.0,27499.0,Air,2025-02-23,4,In Transit
S1488,China,Danang,Automotive Parts,1537.0,107552.0,Sea,2025-06-10,2,Delivered
S1489,Germany,Cat Lai,Furniture,1016.0,66360.0,Air,2025-10-16,5,Delayed
S1490,Vietnam,Cat Lai,Spices,1326.0,148704.0,Road,2025-07-19,3,In Transit
S1491,Germany,Haiphong,Furniture,1020.0,166679.0,Sea,2025-10-03,2,In Transit
S1492,China,Danang,Furniture,392.0,96873.0,Sea,2025-01-16,2,In Transit
S1493,India,Danang,Toys,1976.0,70756.0,Air,2025-06-22,6,Hold
S1494,Germany,Haiphong,Machinery,3845.0,199454.0,Sea,2025-09-05,1,In Transit
S1495,Thailand,Danang,Furniture,7280.0,32464.0,Sea,2025-08-06,5,Hold
S1496,South Korea,Danang,Textiles,2418.0,126897.0,Road,2025-03-28,2,Hold
S1497,USA,Ho Chi Minh,Machinery,3808.0,88791.0,Road,2025-03-23,5,Delivered
S1498,China,Cat Lai,Electronics,450.0,160371.0,Sea,2025-03-03,1,Delivered
S1499,USA,Danang,Furniture,1988.0,184047.0,Sea,2025-10-14,6,In Transit
S1500,Thailand,Ho Chi Minh,Furniture,3658.0,,Air,2025-02-11,5,Delayed
S1501,Germany,Cat Lai,Electronics,3478.0,86441.0,Air,2025-01-12,7,In Transit
S1502,Germany,Haiphong,Furniture,2788.0,242612.0,Sea,2025-11-17,1,Delivered
S1503,Vietnam,Ho Chi Minh,Electronics,3900.0,236444.0,Road,2025-08-22,1,In Transit
S1504,Thailand,Ho Chi Minh,Machinery,2226.0,281319.0,Sea,2025-11-25,4,Delivered
S1505,China,Cat Lai,Textiles,2663.0,142263.0,Sea,2025-05-11,6,In Transit
S1506,Vietnam,Haiphong,Electronics,3041.0,89518.0,Road,2025-04-25,6,Delayed
S1507,South Korea,Ho Chi Minh,Automotive Parts,1603.0,216230.0,Road,2025-08-06,7,In Transit
S1508,Vietnam,Danang,Toys,1367.0,52645.0,Air,2025-05-17,5,Delayed
S1509,Japan,Danang,Toys,2272.0,244608.0,Air,2025-04-16,3,Delayed
S1510,China,Danang,Electronics,2915.0,28283.0,Air,2025-06-28,7,In Transit
S1511,Japan,Haiphong,Toys,1296.0,195195.0,Air,2025-01-16,4,Delayed
S1512,Thailand,Ho Chi Minh,Furniture,2879.0,107780.0,Road,2025-08-30,6,Delayed
S1513,India,Danang,Spices,2047.0,,Sea,2025-11-30,1,Delivered
S1514,Japan,Haiphong,Spices,3364.0,5515.0,Air,2025-08-14,6,Delivered
S1515,South Korea,Danang,Toys,704.0,233872.0,Air,2025-08-30,7,Delayed
S1516,Vietnam,Cat Lai,Machinery,1821.0,63755.0,Road,2025-05-21,3,Hold
S1517,India,Ho Chi Minh,Pharmaceuticals,2583.0,32856.0,Road,2025-07-18,2,In Transit
S1518,Vietnam,Ho Chi Minh,Machinery,2672.0,78870.0,Sea,2025-04-22,2,Delayed
S1519,Japan,Haiphong,Pharmaceuticals,2746.0,142080.0,Sea,2025-05-07,6,In Transit
S1520,Vietnam,Haiphong,Spices,1587.0,275131.0,Road,2025-01-21,6,Delivered
S1521,Thailand,Ho Chi Minh,Spices,3194.0,101502.0,Air,2025-05-27,4,In Transit
S1522,India,Danang,Electronics,2877.0,71323.0,Air,2025-03-30,6,Delayed
S1523,Thailand,Danang,Textiles,,277017.0,Air,2025-10-30,3,Delayed
S1524,Japan,Cat Lai,Automotive Parts,917.0,218614.0,Sea,2025-07-22,6,Delayed
S1525,Thailand,Danang,Machinery,3684.0,172516.0,Air,2025-03-26,5,Delayed
S1526,South Korea,Haiphong,Furniture,538.0,110219.0,Air,2025-06-16,7,Hold
S1527,Japan,Haiphong,Pharmaceuticals,858.0,10033.0,Road,2025-03-13,3,Hold
S1528,Japan,Danang,Toys,,282833.0,Air,2025-10-25,4,Hold
S1529,Japan,Haiphong,Furniture,628.0,114756.0,Road,2025-01-09,5,Delayed
S1530,China,Ho Chi Minh,Textiles,1098.0,267210.0,Air,2025-10-08,5,Hold
S1531,Vietnam,Ho Chi Minh,Pharmaceuticals,3380.0,119159.0,Sea,2025-09-15,7,In Transit
S1532,China,Danang,Machinery,3964.0,181318.0,Air,2025-10-02,2,Delayed
S1533,China,Ho Chi Minh,Electronics,3189.0,12533.0,Air,2025-08-26,3,Delivered
S1534,South Korea,Ho Chi Minh,Furniture,741.0,206224.0,Road,2025-01-20,7,Delayed
S1535,India,Cat Lai,Textiles,2304.0,247653.0,Road,2025-08-21,5,In Transit
S1536,Vietnam,Cat Lai,Machinery,1455.0,114028.0,Road,2025-08-09,4,Hold
S1537,Thailand,Ho Chi Minh,Spices,2905.0,278916.0,Air,2025-11-22,7,Delayed
S1538,Germany,Danang,Spices,2682.0,255231.0,Air,2025-01-17,2,Hold
S1539,Japan,Cat Lai,Machinery,583.0,17940.0,Sea,2025-03-30,5,Delayed
S1540,Thailand,Haiphong,Machinery,2807.0,21932.0,Air,2025-07-15,7,In Transit
S1541,Japan,Haiphong,Machinery,393.0,231377.0,Sea,2025-12-16,3,Delayed
S1542,South Korea,Haiphong,Pharmaceuticals,3919.0,29648.0,Road,2025-03-25,2,Hold
S1543,Japan,Danang,Machinery,2781.0,37966.0,Road,2025-03-28,3,Hold
S1544,China,Ho Chi Minh,Furniture,,260733.0,Road,2025-11-03,3,In Transit
S1545,Vietnam,Haiphong,Textiles,2963.0,168639.0,Sea,2025-12-04,3,Delayed
S1546,Germany,Danang,Pharmaceuticals,2998.0,251331.0,Air,2025-06-03,7,Delivered
S1547,USA,Cat Lai,Machinery,2432.0,713970.0,Road,2025-08-16,2,Delayed
S1548,Japan,Ho Chi Minh,Automotive Parts,2095.0,195271.0,Air,2025-09-21,7,In Transit
S1549,Thailand,Cat Lai,Toys,2539.0,180309.0,Air,2025-08-11,7,Delivered
S1550,China,Danang,Automotive Parts,3606.0,201569.0,Road,2025-05-01,7,In Transit
S1551,USA,Haiphong,Textiles,931.0,136250.0,Sea,2025-06-22,5,Delayed
S1552,Germany,Haiphong,Spices,2363.0,253004.0,Air,2025-01-04,6,Delivered
S1553,USA,Danang,Electronics,3072.0,22118.0,Road,2025-12-08,1,In Transit
S1554,China,Haiphong,Electronics,3320.0,27616.0,Air,2025-05-08,5,Hold
S1555,Vietnam,Ho Chi Minh,Toys,884.0,136870.0,Air,2025-04-20,2,Delivered
S1556,Vietnam,Danang,Spices,281.0,274745.0,Air,2025-12-21,1,Delivered
S1557,India,Cat Lai,Pharmaceuticals,3081.0,292507.0,Air,2025-02-06,1,In Transit
S1558,Vietnam,Danang,Pharmaceuticals,2580.0,7795.0,Air,2025-03-12,1,Hold
S1559,India,Ho Chi Minh,Pharmaceuticals,2804.0,102462.0,Sea,2025-10-16,6,Delivered
S1560,USA,Ho Chi Minh,Electronics,2582.0,270228.0,Sea,2025-01-31,7,In Transit
S1561,South Korea,Danang,Automotive Parts,731.0,267875.0,Road,2025-09-25,4,Delivered
S1562,Thailand,Danang,Electronics,2183.0,137201.0,Sea,2025-01-11,2,Delivered
S1563,Thailand,Haiphong,Furniture,420.0,164094.0,Sea,2025-12-10,6,Delivered
S1564,USA,Ho Chi Minh,Machinery,834.0,,Sea,2025-11-24,6,Hold
S1565,Japan,Danang,Pharmaceuticals,1969.0,82506.0,Air,2025-02-01,4,Delayed
S1566,Japan,Danang,Automotive Parts,2570.0,245313.0,Air,2025-02-26,1,Delayed
S1567,Vietnam,Ho Chi Minh,Textiles,2074.0,49130.0,Road,2025-06-15,7,Hold
S1568,Thailand,Danang,Toys,,168402.0,Road,2025-07-07,4,Hold
S1569,Thailand,Haiphong,Textiles,1917.0,151259.0,Road,2025-12-08,4,In Transit
S1570,India,Ho Chi Minh,Machinery,405.0,206682.0,Air,2025-01-19,6,Delivered
S1571,South Korea,Haiphong,Automotive Parts,2055.0,228034.0,Sea,2025-04-26,2,Hold
S1572,China,Haiphong,Electronics,239.0,104694.0,Sea,2025-07-03,3,In Transit
S1573,Japan,Haiphong,Electronics,2306.0,24773.0,Air,2025-09-27,7,Delayed
S1574,Thailand,Haiphong,Furniture,3198.0,271383.0,Road,2025-02-02,4,Delayed
S1575,India,Ho Chi Minh,Furniture,2821.0,288007.0,Road,2025-01-10,7,Delayed
S1576,Germany,Haiphong,Electronics,843.0,73968.0,Road,2025-03-21,4,Delayed
S1577,India,Haiphong,Textiles,1730.0,65430.0,Air,2025-07-11,1,In Transit
S1578,Japan,Danang,Toys,3843.0,255072.0,Road,2025-11-16,7,Delivered
S1579,Japan,Ho Chi Minh,Pharmaceuticals,2107.0,6515.0,Road,2025-07-09,1,In Transit
S1580,India,Ho Chi Minh,Textiles,3090.0,1533090.0,Air,2025-03-09,6,Delivered
S1581,China,Cat Lai,Toys,3393.0,250282.0,Sea,2025-12-14,1,Delayed
S1582,USA,Ho Chi Minh,Furniture,3750.0,240702.0,Air,2025-05-05,7,Hold
S1583,Japan,Ho Chi Minh,Machinery,2866.0,158790.0,Air,2025-12-02,5,Hold
S1584,India,Cat Lai,Toys,2343.0,250277.0,Air,2025-02-28,7,Hold
S1585,Thailand,Ho Chi Minh,Electronics,3685.0,36186.0,Air,2025-04-07,4,Delivered
S1586,India,Ho Chi Minh,Furniture,3506.0,31928.0,Sea,2025-10-02,1,Delayed
S1587,South Korea,Ho Chi Minh,Furniture,1097.0,234336.0,Road,2025-05-29,2,In Transit
S1588,USA,Ho Chi Minh,Pharmaceuticals,1285.0,219159.0,Air,2025-10-05,5,Hold
S1589,Germany,Cat Lai,Electronics,1479.0,25711.0,Sea,2025-09-22,6,Delivered
S1590,China,Ho Chi Minh,Pharmaceuticals,2808.0,59962.0,Road,2025-01-09,3,Hold
S1591,Vietnam,Ho Chi Minh,Electronics,3152.0,,Road,2025-10-10,4,In Transit
S1592,Germany,Cat Lai,Pharmaceuticals,2595.0,41561.0,Road,2025-09-30,4,Delayed
